Ticker,Nombre,Cuenta,Categoría,Tipo Posición,Shares,Precio CAD,Valor CAD,% Portfolio,Notas,Vencimiento,Strike
BTCC.B.TO,Bitcoin ETF TSX,Cash CAD,Crypto,Stock,2000,2.50,5000,2.2,Bitcoin,—,—
EETH.TO,Ethereum ETF TSX,Cash CAD,Crypto,Stock,1000,1.50,1500,0.7,Ethereum,—,—
CETES-MXN,Certificados Tesorería México,Cash CAD,Cash + CETES,Stock,5200000,0.0000192,99840,43.6,Yields 7-9% MXN,—,—
CASH-CAD,Efectivo Líquido Canadá,Cash CAD,Cash + CETES,Stock,1,15000.00,15000,6.6,Pólvora Seca,—,—
NVDA,NVIDIA Corporation,TFSA,Semiconductores,Stock,25,850.00,21250,9.3,High Beta Semiconductores,—,—
AVGO,Broadcom Inc,TFSA,Semiconductores,Stock,20,620.00,12400,5.4,Networking Infrastructure,—,—
EDIT,Editas Medicine,TFSA,Biotech,Stock,15,60.00,900,0.4,Gene Editing,—,—
CRSP,CRISPR Therapeutics,TFSA,Biotech,Stock,15,95.00,1425,0.6,CRISPR,—,—
BTCC.B.TO,Bitcoin ETF TSX,TFSA,Crypto,Stock,1000,2.50,2500,1.1,Bitcoin Tax-Free,—,—
EETH.TO,Ethereum ETF TSX,TFSA,Crypto,Stock,400,1.50,600,0.3,Ethereum Tax-Free,—,—
9501.T,Tokyo Electric Power,Japón,Energía,Stock,100,1850.00,185000,80.8,Utilities Japón (JPY),—,—
9503.T,Kansai Electric Power,Japón,Energía,Stock,50,2200.00,110000,48.0,Utilities Japón (JPY),—,—
4502.T,Takeda Pharmaceutical,Japón,Biotech,Stock,60,3200.00,192000,83.8,Pharma Japón (JPY),—,—
4503.T,Astellas Pharma,Japón,Biotech,Stock,80,2800.00,224000,97.8,Pharma Japón (JPY),—,—
7203.T,Toyota Motor,Japón,Mercados Emergentes,Stock,50,1950.00,97500,42.6,Exportador Japón (JPY),—,—
6758.T,Sony Corporation,Japón,Mercados Emergentes,Stock,40,1050.00,42000,18.3,Electrónica Japón (JPY),—,—
CASH-JPY,Efectivo Líquido JPY,Japón,Cash + CETES,Stock,1,2500.00,2500,1.1,High-yield savings,—,—
SPY,SPDR S&P 500 ETF,Opciones,Semiconductores,Call,10,2.50,2500,1.1,Call 560 Strike,2026-03-15,560
QQQ,Invesco QQQ Trust,Opciones,Semiconductores,Put,8,1.75,1400,0.6,Put 420 Strike,2026-03-20,420
TOTAL,Portfolio 2026,,,,,228000,228000,100,Estado al 1 Feb 2026,,
